,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,1709,02 Jul 2011 (Sat),3776,7648,1501,0724,1274,1701,3211,4213,4333,4979,5951,7787,9038,0646,0949,2095,3566,5313,5955,7730,8147,8170,8848
,1710,03 Jul 2011 (Sun),6926,3284,6160,8981,9337,2112,2577,3022,6421,6425,6613,6623,8739,1258,2774,3504,3586,3643,4007,4991,6612,8487,8636
,1711,06 Jul 2011 (Wed),3210,3013,2022,6278,6532,8366,0179,1615,1664,4220,4499,5928,6219,1821,2250,3312,3833,4136,6592,6723,8425,8615,9489
,1712,09 Jul 2011 (Sat),5229,0146,5820,3940,6206,6923,8244,8407,0120,0738,1402,3014,3240,0946,1416,1696,2617,3334,4452,4807,7866,8289,8464
,1713,10 Jul 2011 (Sun),2824,4120,4771,3446,5978,6258,6290,8356,8453,8936,0410,1354,2142,1595,2327,3242,3256,3847,4302,5497,8178,9252,9863
,1714,13 Jul 2011 (Wed),3383,4491,1709,3771,4025,4912,5014,5861,6578,8657,8970,1808,3521,0677,0742,1036,1855,1862,3391,3447,6427,6825,8197
,1715,16 Jul 2011 (Sat),4882,0751,3261,1412,3822,4497,5724,6573,6916,7002,7533,8093,8973,0203,1300,2618,3659,4086,5460,5710,6355,6364,7413
,1716,17 Jul 2011 (Sun),6100,8326,5694,0169,1211,1647,2543,7249,7391,7622,7787,8778,8964,0316,1090,2302,3124,6808,7858,8956,9595,9622,9893
,1717,20 Jul 2011 (Wed),9185,2122,3694,0396,1817,2063,2233,2271,4107,4284,4490,8085,9970,7011,8869,0078,0322,0983,3448,4891,4939,5006,6268
,1718,23 Jul 2011 (Sat),8445,8099,0965,0445,0566,0606,1637,2483,4763,8935,9504,9610,9987,6278,7351,7845,9070,1556,1737,3076,3895,5020,5527
,1719,24 Jul 2011 (Sun),5312,4293,3871,0195,1731,2476,3991,4353,4981,7887,8209,8683,9543,7984,8051,8414,9523,9617,0183,0356,0907,4078,5390
,1720,27 Jul 2011 (Wed),9024,2518,0728,0026,0992,2229,3610,3617,4242,5439,8061,8241,9577,2468,5858,6462,6990,7021,7222,9322,1477,1947,2006
,1721,30 Jul 2011 (Sat),9252,3031,5035,1092,2020,2497,3549,3759,4694,5597,6609,9013,9767,1324,2080,2985,4817,5761,5928,7223,9204,9460,1231
,1722,31 Jul 2011 (Sun),6280,2310,9683,2023,2163,3365,3608,5247,6259,6798,7882,8439,9464,0103,0359,1610,2621,3825,6888,7845,8469,9420,9917
,1723,03 Aug 2011 (Wed),7532,7297,8148,6666,8601,1799,2264,2604,3359,3639,4140,5111,6484,0070,0680,0948,1367,3015,4751,5335,6413,9118,9952
,1724,06 Aug 2011 (Sat),8593,7436,8426,4789,7353,8066,9993,0972,1332,1342,3868,4153,4611,0000,0130,0660,2184,2226,2248,2762,7926,8121,9710
,1725,07 Aug 2011 (Sun),3145,8326,7371,7402,7479,8942,9123,9216,0017,2322,2584,5872,5883,2484,4191,4407,5108,5447,7614,8740,8845,9102,9166
,1726,10 Aug 2011 (Wed),8377,2081,6817,2716,3486,4011,4843,4851,6409,7892,0766,0932,2216,0548,1643,2535,4939,5020,5310,5707,7375,8348,9481
,1727,13 Aug 2011 (Sat),4199,3786,7939,3138,4818,4943,5134,5578,7662,7860,8254,9641,2498,0261,0505,1029,2212,2992,3826,5276,6349,9873,9976
,1728,14 Aug 2011 (Sun),1936,8164,2452,1591,3684,3724,4612,5047,5920,6474,7599,9461,9890,1059,1074,1179,1549,2379,5527,7110,7753,7884,9784
,1729,17 Aug 2011 (Wed),2451,6877,7703,0268,0276,0408,1792,2426,3537,4415,5187,6576,7607,8919,0195,2543,2596,2922,2984,5250,7156,8259,8769
,1730,20 Aug 2011 (Sat),0041,1199,8196,0668,0927,3512,3950,4427,7191,8222,9628,9847,9880,9078,9574,0015,1667,2089,3524,3762,6506,7457,7836
,1731,21 Aug 2011 (Sun),1754,0699,2149,1072,1594,3220,3332,3566,5573,6112,6240,6764,8522,5407,8406,8911,9614,1365,1426,2348,2406,3331,5406
,1732,24 Aug 2011 (Wed),2386,4900,3420,1284,1516,2187,2266,5319,5624,8266,8609,9390,9673,5087,5604,6665,7557,8068,9356,2162,2846,3518,3559
,1733,27 Aug 2011 (Sat),8752,2319,9934,1564,3318,3457,4357,4990,6246,8312,9314,9759,9948,3213,3824,5266,5669,5968,8532,9929,1362,1658,2505
,1734,28 Aug 2011 (Sun),7663,5158,4515,1136,1470,1510,1700,3664,3665,6470,7961,8967,9147,2075,4185,4985,6085,6836,9102,9298,9577,9725,1026
,1735,31 Aug 2011 (Wed),9476,4553,5937,9897,1275,1489,1921,3336,4912,5245,6556,9251,9815,0228,2974,3446,4530,4706,4925,6057,6589,7038,9712
,1736,03 Sep 2011 (Sat),1999,4786,2124,9570,9633,1604,2347,2748,3432,3590,5530,7212,9173,0609,0997,2177,2838,5751,6476,6503,7829,9193,9467
,1737,04 Sep 2011 (Sun),6576,4527,2283,5703,7538,7596,9881,0737,0888,1363,2973,3817,5300,0320,1387,3758,4723,4851,4886,6203,6979,8883,9832
,1738,07 Sep 2011 (Wed),5519,5855,3423,0607,1688,3807,3864,5618,5628,7061,7385,7515,8746,9767,9820,0471,2025,3243,3324,6192,7521,8241,9190
,1739,10 Sep 2011 (Sat),0276,6048,3597,0856,1434,1552,1870,2196,3485,6484,6990,9020,9973,7588,7886,8755,9917,0731,2296,3355,3449,4235,7052
,1740,11 Sep 2011 (Sun),7319,3305,2876,1678,1961,3557,3905,4424,5322,5976,7102,7189,7207,8064,8373,8993,9094,9302,0516,4659,4797,5928,6862
,1741,14 Sep 2011 (Wed),0300,5029,7516,0777,0974,1224,1755,4153,4851,5534,5605,7262,7289,3185,3803,3891,4890,5012,6692,8046,0330,0566,2337
,1742,17 Sep 2011 (Sat),0852,9360,3758,2427,2689,3911,5323,6205,6908,7375,7771,9064,9744,3787,3793,5085,5598,6150,6894,1016,1360,2049,2633
,1743,18 Sep 2011 (Sun),4635,8532,5614,7387,8001,8028,8419,8488,1526,1930,2418,4880,6052,0233,1203,2082,2130,4465,5616,5873,6976,6987,9429
,1744,21 Sep 2011 (Wed),4006,9916,2103,3319,4279,8691,9001,9103,9751,0905,1517,2775,3218,1340,2520,2651,2937,3806,5049,7282,8495,9427,9571
,1745,24 Sep 2011 (Sat),8128,1885,9028,6548,7340,8677,8967,0772,3117,3808,5122,5408,5662,2171,3624,4020,4348,5009,6655,6699,6865,7482,8905
,1746,25 Sep 2011 (Sun),2911,4250,6999,5683,6045,6540,7382,7975,8958,0140,4113,4331,4619,0417,1645,2546,2834,3734,4726,4979,4991,7571,7946
,1747,28 Sep 2011 (Wed),3195,7053,2874,0747,1096,3574,3844,5140,6999,7640,8102,8374,9329,5390,5558,7234,7894,8042,9541,9656,1108,4202,5189
,1748,01 Oct 2011 (Sat),5014,0318,6463,1589,3137,4445,5376,5599,5650,7592,7833,8517,0986,0368,0626,1029,3849,4352,5048,5994,8067,8324,9593
,1749,02 Oct 2011 (Sun),9431,0072,8627,2484,2697,2709,3688,4627,5891,6223,7617,0366,1963,1226,1310,2457,3118,4114,4229,5802,5965,6225,7466
,1750,05 Oct 2011 (Wed),4878,1918,3602,1907,2483,4694,5941,6616,8096,9792,0349,0479,1012,0764,1642,2026,2805,3217,4041,4389,6311,8447,9158
,1751,08 Oct 2011 (Sat),1010,8845,2483,8251,4028,5061,5342,5489,6118,6508,7091,7773,8144,0738,1269,1904,2416,3928,4877,7535,7771,9071,9715
,1752,09 Oct 2011 (Sun),0303,5448,9269,0262,0611,2618,4410,4636,6382,6577,7588,8479,9872,2221,2639,3316,3531,4384,4422,7900,9837,0448,0737
,1753,12 Oct 2011 (Wed),0397,8680,6563,0746,2108,4410,5216,6729,7140,7194,7264,7731,9642,2480,3466,4891,5009,5388,5692,6326,8688,0176,0594
,1754,15 Oct 2011 (Sat),9912,8432,2636,9737,0751,1735,2290,2925,5496,7126,7196,8804,9327,0362,1743,2919,2988,3544,5829,6887,7577,8024,8495
,1755,16 Oct 2011 (Sun),1660,6869,9161,0483,1553,1752,3705,4015,5381,5807,6366,7540,9400,7847,9124,0058,0264,2312,2829,3140,4093,6045,7552
,1756,19 Oct 2011 (Wed),4725,1755,1214,2628,2778,3612,4233,4428,4592,5312,7796,7871,8152,2506,3308,3654,4155,4421,5514,6040,6617,9066,1517
,1757,22 Oct 2011 (Sat),8787,0157,8322,3459,3682,4478,5240,6320,6719,6818,7134,8461,9066,2349,3197,3581,4317,6700,7396,9768,1209,2024,2231
,1758,23 Oct 2011 (Sun),5404,6619,7494,8586,9847,9926,0032,2034,2285,6004,7346,7912,8469,0076,0318,2470,3860,3941,3944,4187,4717,6868,8657
,1759,26 Oct 2011 (Wed),0208,5237,5703,0340,1496,2571,5216,5314,5796,5799,5989,7391,8337,2225,2731,3032,5173,5460,6303,7672,0863,1056,1268
,1760,29 Oct 2011 (Sat),3796,8760,0884,5965,6585,7554,8803,0061,0599,1048,2181,3262,5841,0012,0825,0828,2596,3716,4122,4669,6978,7948,8819
,1761,30 Oct 2011 (Sun),0638,4758,7392,7391,7474,9273,0158,0542,1497,3868,3978,4403,5135,0780,2370,2401,5685,6824,7327,7807,7925,9248,9794
,1762,02 Nov 2011 (Wed),6874,6062,5546,0171,0603,1280,2638,3618,4401,5623,5945,6824,8521,6911,7525,0347,0868,0912,0916,2801,3322,4628,5965
,1763,05 Nov 2011 (Sat),3917,6135,8021,8984,0580,1153,1812,1885,1915,4058,5371,8063,8433,0727,2400,3753,5145,5788,6171,6722,7598,9364,9451
,1764,06 Nov 2011 (Sun),3890,9876,6945,0685,1529,3003,3316,5334,5549,6028,6864,7080,7317,8883,9054,9950,1506,2361,3214,4327,4840,6050,7753
,1765,09 Nov 2011 (Wed),7437,1988,3842,4495,4538,5728,0036,1833,1999,2832,3196,3621,3689,0464,0508,2037,2993,3113,3365,5730,6300,6741,8013
,1766,12 Nov 2011 (Sat),5282,5269,7149,1944,2670,3693,5952,6078,7064,7549,7621,7634,8949,0408,0451,2347,2520,2919,3514,3704,8249,9120,9656
,1767,13 Nov 2011 (Sun),1882,5561,7407,0344,0979,1422,2230,2951,3726,5008,6137,7069,8026,9272,9836,3164,3230,5731,7035,7691,8145,8203,9174
,1768,16 Nov 2011 (Wed),5604,4785,4775,3772,3817,6108,6370,7638,7713,7971,9082,9252,2146,2930,3005,3594,4463,5834,7567,8311,8415,8663,8910
,1769,19 Nov 2011 (Sat),1273,8650,3162,2255,5345,6320,8463,9417,0409,0798,1245,1516,2166,0125,0680,1792,2112,2163,3891,4882,7177,8233,9888
,1770,20 Nov 2011 (Sun),4248,3897,0646,0793,1041,3774,4019,7029,7289,8147,8425,9073,9482,8868,9355,0250,0272,2213,2956,3641,5065,8217,8758
,1771,23 Nov 2011 (Wed),1484,5428,7594,5846,5870,8064,8404,8771,8786,8901,9907,0111,3590,0622,1749,2453,2861,3251,5085,5606,8237,8396,8976
,1772,26 Nov 2011 (Sat),0204,3544,0161,6949,9152,9690,0077,1973,2454,2577,3473,4244,4715,0442,1293,1672,3459,3460,3656,5357,6107,8099,9701
,1773,27 Nov 2011 (Sun),3798,9899,5980,1187,3311,5548,6831,6917,7168,7568,8060,9276,9697,8491,8655,0761,1333,2342,3536,4205,4449,4882,5974
,1774,30 Nov 2011 (Wed),8165,5290,5068,0887,1843,2418,2796,4578,6024,6078,7097,8472,9925,9745,9991,1078,1240,2154,2418,3062,4276,6124,9148
,1775,03 Dec 2011 (Sat),8678,9789,9485,0283,2527,3447,3702,6556,6635,8815,8846,9186,9259,8514,8693,1918,2345,2640,2641,3670,3940,4697,6617
,1776,04 Dec 2011 (Sun),4014,2256,2378,0071,0419,1699,1785,2830,3028,4635,5024,7267,7932,8166,9769,0476,0895,3159,4001,4972,6745,7497,7628
,1777,07 Dec 2011 (Wed),9911,1287,3863,1051,3289,3854,4482,4822,6340,6789,8248,9601,9619,6822,7037,0006,0289,1007,1399,1474,3917,3924,5043
,1778,10 Dec 2011 (Sat),5234,1818,7897,0143,0573,3675,5147,5766,5797,8228,9198,9214,9911,3653,4551,4967,6315,7276,9751,9938,1477,2277,3041
,1779,11 Dec 2011 (Sun),8877,7860,8502,0788,0804,2600,2683,5508,6968,7314,9125,9595,9895,7795,8945,1232,1431,2496,4964,6277,6338,6658,6710
,1780,14 Dec 2011 (Wed),6525,3284,8780,1690,1912,3898,4245,4408,4556,4774,5937,7511,7796,9359,9902,1066,1464,3258,3972,4248,4485,5593,8932
,1781,17 Dec 2011 (Sat),9737,4487,5734,0240,4399,4718,5959,6850,8354,8543,8769,8973,9342,7243,7854,0928,1092,1199,1386,3253,6088,6486,6998
,1782,18 Dec 2011 (Sun),6656,2866,7462,1555,4061,4604,5387,5618,5979,6231,6491,9039,9702,9019,9670,0804,1121,2249,3457,4168,5778,6453,7897
,1783,21 Dec 2011 (Wed),6740,1946,4328,8690,0706,0976,1060,2074,2460,4393,4648,5227,7750,0125,1090,2599,2655,4195,4644,7774,9444,9533,9752
,1784,24 Dec 2011 (Sat),0325,4357,8269,0168,3990,4385,5466,5989,6771,6921,7797,8723,9518,6235,8794,2487,2503,3775,4480,4788,5375,5502,5991
,1785,25 Dec 2011 (Sun),1095,4667,3266,3988,4871,6910,6949,7827,8057,8965,0612,2391,2591,1905,3518,3657,5037,5327,6385,8120,9019,9093,9587
,1786,28 Dec 2011 (Wed),1698,4882,6203,1836,2077,2945,5653,6176,7441,9099,0468,0559,1631,1215,3528,4544,5260,5640,6332,6452,7334,7960,8329
,1787,31 Dec 2011 (Sat),0223,8046,3686,1474,3429,3615,3657,4499,6211,7573,7826,9185,9437,2286,4457,4779,7611,8112,8796,9739,0088,1018,1768
,1788,01 Jan 2012 (Sun),6493,2138,4021,6962,7320,8848,0609,0957,1495,2722,3247,3931,4037,0405,2397,2562,3188,5274,5938,7410,7703,8261,8787
,1789,04 Jan 2012 (Wed),0597,4555,6922,0384,1682,3819,4132,4321,7620,8056,8422,8639,9227,6869,9285,0316,0807,1662,2548,2822,4264,5303,5434
,1790,07 Jan 2012 (Sat),0188,3917,7234,0448,0912,1147,4808,5141,6782,6903,7040,8122,8906,8610,9369,0813,0898,1579,2954,4070,4311,4739,5248
,1791,08 Jan 2012 (Sun),1423,7878,6097,0699,1385,2702,2890,2981,3948,5954,6284,7990,8979,9027,9227,0054,0668,1335,3213,3994,4312,7691,8195
,1792,11 Jan 2012 (Wed),0975,3363,4717,0153,1730,3083,4014,4377,5042,6096,8065,9213,9902,1112,1423,3413,3738,4649,6704,7749,8207,8962,9143
,1793,14 Jan 2012 (Sat),8730,0166,2732,1258,2391,3921,5807,6231,7655,9060,9093,9384,9994,6815,8513,9132,9390,9794,1454,4469,5132,5697,6300
,1794,15 Jan 2012 (Sun),4748,6289,3385,0400,1075,1166,2813,3934,6703,7053,7543,7654,9036,0097,0724,0988,2261,2266,4138,5662,6600,8643,9797
,1795,18 Jan 2012 (Wed),1236,6572,7817,0516,1549,1676,3684,5161,5666,7220,7427,7554,7679,1863,3305,4109,6010,6156,6305,6420,6554,8733,9934
,1796,21 Jan 2012 (Sat),0412,4245,1392,5018,5439,6923,0288,1656,2088,2687,2885,3620,4210,0475,0945,3008,3378,4133,4306,6446,6675,7883,9180
,1797,22 Jan 2012 (Sun),6604,7871,0991,2331,8311,8795,9152,9545,0717,0925,0962,1756,1888,0148,0272,1152,2347,2693,3695,4101,5639,7592,8440
,1798,25 Jan 2012 (Wed),4759,7642,0532,2872,3776,3827,7233,7545,7898,7928,8221,0942,1492,2019,3860,4676,5357,5700,6724,7758,7835,8273,8545
,1799,28 Jan 2012 (Sat),4418,4239,8211,3345,4854,5687,8428,8800,9164,9409,0887,2108,3296,1870,2473,3101,3390,4091,4974,5713,7457,7631,8767
,1800,29 Jan 2012 (Sun),0753,4044,0420,0000,1955,2314,2716,2916,3219,4408,6369,7948,8973,3469,3617,5268,5441,7440,8732,9441,0790,1748,3397
,1801,01 Feb 2012 (Wed),8905,9655,6650,0787,3209,4300,5265,5305,5683,6347,7186,7495,8041,0046,0501,4066,4743,5308,5525,5804,6251,8650,9685
,1802,04 Feb 2012 (Sat),1708,3516,6160,1275,1622,3128,4399,4530,5752,5801,6974,8975,9923,8170,8863,9395,0452,2264,2682,4041,6384,6475,8062
,1803,05 Feb 2012 (Sun),5940,4833,1652,1473,1572,2038,4375,4521,5982,7312,7645,7727,8328,7728,9064,0675,2156,2846,4046,6182,6230,6979,7399
,1804,08 Feb 2012 (Wed),3290,2737,0316,0103,0140,0540,1394,1943,2580,2634,6793,7432,9234,8042,8134,0994,2069,3098,4633,4676,5574,5786,6214
,1805,11 Feb 2012 (Sat),3503,3161,5246,0358,1948,2003,2435,2603,6791,7363,8650,9200,9868,5603,7434,9669,9999,2960,4339,4486,4504,4994,5058
,1806,12 Feb 2012 (Sun),8663,3942,3731,0339,0749,3048,3121,3525,4003,6033,7835,8107,8171,4189,4245,5760,7870,8215,9467,9861,0674,1214,1222
,1807,15 Feb 2012 (Wed),2084,0674,7845,7512,7563,7788,7789,2540,4052,4669,5335,5776,6426,1889,2155,2684,3059,3368,3854,4321,5023,9515,9862
,1808,18 Feb 2012 (Sat),6341,7136,9821,7672,8412,8719,9240,0746,2001,4682,6074,6431,7544,3027,3499,4220,4294,4888,4995,8338,9192,9474,9936
,1809,19 Feb 2012 (Sun),4602,6086,3246,0283,0943,1550,2696,4001,5120,6173,8352,8986,9767,4214,4366,4425,6622,7736,8601,9520,9952,0275,1307
,1810,22 Feb 2012 (Wed),4184,1266,4650,1877,2202,6074,7693,7775,7821,8303,8995,9406,9798,0721,2398,4132,4280,4697,5183,5990,6576,7264,8903
,1811,25 Feb 2012 (Sat),1673,2716,6130,9413,2286,2918,2923,3710,4172,4589,6601,8406,8539,2920,3170,3492,5003,5039,6045,6448,7106,8399,9854
,1812,26 Feb 2012 (Sun),8488,4855,5783,3361,3795,3997,5887,6200,7280,7441,9658,9908,9922,7779,8300,9580,0272,1854,3047,4877,5029,6175,6438
,1813,29 Feb 2012 (Wed),1798,2996,8014,0885,1009,1219,1351,1417,1788,2108,4182,4765,6892,8172,9112,0298,2830,4712,5237,5898,6014,6039,7000
,1814,03 Mar 2012 (Sat),6759,8641,3933,4545,5364,5662,5790,8675,9703,0430,1732,3185,3746,0773,1715,4067,4463,4965,6612,7989,8525,8706,9173
,1815,04 Mar 2012 (Sun),1165,9886,7585,0396,1625,3582,3826,4073,6504,7653,7805,8434,8759,6741,7729,2774,3131,3710,3811,4069,5078,5998,6565
,1816,07 Mar 2012 (Wed),1697,2599,7435,2627,2940,3973,5932,6278,6988,7014,7717,8501,9702,5218,5243,0013,1812,1815,2597,3285,3726,3962,4836
,1817,10 Mar 2012 (Sat),7623,0129,1600,0939,1605,2113,4198,4571,7105,7300,8055,9322,9575,6440,9584,0789,1323,1678,2319,3727,3796,4913,5041
,1818,11 Mar 2012 (Sun),9701,7450,5474,0982,2191,2629,4065,4353,6371,6966,8070,9037,9410,9226,0562,2077,3275,5316,5539,7992,8281,8724,9063
,1819,14 Mar 2012 (Wed),1907,5757,4758,0380,0435,2183,4296,4703,5792,7951,8726,9030,9086,9487,9802,1536,3757,4269,4561,5223,5488,6176,6904
,1820,17 Mar 2012 (Sat),8241,7846,2683,2573,2837,3185,5996,6021,6246,6592,7680,8581,9995,8679,9547,0985,2811,3476,3774,4099,5076,6214,7385
,1821,18 Mar 2012 (Sun),6621,9808,8400,4091,8297,9306,0426,0692,1250,1792,2762,3455,3908,0026,0076,1167,3483,3666,5190,6436,7198,7340,7458
,1822,21 Mar 2012 (Wed),9510,3720,0260,0386,0562,0591,0600,2836,3690,4374,4779,8987,9242,8204,9676,1672,2240,3990,5502,6322,7466,7641,8053
,1823,24 Mar 2012 (Sat),8553,5825,9624,3305,3318,3692,5650,6798,7387,7639,8521,8907,9474,8977,9292,0981,2480,4852,5450,5834,5892,7103,7971
,1824,25 Mar 2012 (Sun),2527,5532,2752,1276,3610,3673,5338,5691,6400,7174,7820,8542,1137,0802,1236,1619,2518,2670,2944,3506,4061,5573,9061
,1825,28 Mar 2012 (Wed),2852,6387,8550,0532,1066,1977,3944,5612,6008,6909,8640,9181,9646,9639,9915,1005,1200,2746,5440,6492,7401,7768,8308
,1826,31 Mar 2012 (Sat),3222,2714,1365,9647,2138,3052,3242,4266,6588,6600,7685,8415,8452,0266,1036,1142,3265,3561,3601,3757,7381,7992,9652
,1827,01 Apr 2012 (Sun),0543,8658,7385,0641,0700,0738,0765,1936,3638,5156,5481,9336,9921,7983,8420,1364,3195,3446,3888,3911,4819,6309,7783
,1828,04 Apr 2012 (Wed),0117,2773,3346,0454,2687,3523,4100,5570,6928,7759,8360,9118,9354,6770,8315,9518,9823,2293,3856,4041,4115,5553,6218
,1829,07 Apr 2012 (Sat),7649,4744,1792,0888,1692,3035,3247,4766,5356,5401,5462,6551,9444,5793,6703,7467,7600,9728,0310,1996,2846,3621,3839
,1830,08 Apr 2012 (Sun),6266,5174,0177,2340,2702,3165,4354,4440,6530,6663,6891,8352,8408,6843,6929,7033,7214,7257,7349,7727,1675,5145,5965
,1831,11 Apr 2012 (Wed),7926,2141,8738,0760,1263,4369,5643,6801,7080,7242,7543,8037,8720,4184,4960,5638,5764,6376,6798,7810,8213,8588,4029
,1832,14 Apr 2012 (Sat),1817,9269,6135,1571,2262,2377,3167,4926,6415,7502,8548,8885,9820,0548,0671,1006,1666,2237,4759,6799,8006,8553,9318
,1833,15 Apr 2012 (Sun),1116,1384,5388,9049,9211,0353,0690,1587,4452,6304,7808,7915,8220,0225,0908,1090,2505,5724,6373,7084,8744,8882,9294
,1834,18 Apr 2012 (Wed),4917,7324,7604,6262,6278,6762,9987,0036,0462,2382,3869,4149,5864,1151,2057,3380,5565,5907,6746,7313,8353,8548,9208
,1835,21 Apr 2012 (Sat),7145,0390,7036,3410,3507,3863,6833,9655,0158,1297,1322,1512,2611,2073,3290,3686,3746,4249,5769,7756,8096,8586,9952
,1836,22 Apr 2012 (Sun),5452,1835,2068,5517,6075,6674,7859,8165,9440,9495,0904,1493,5118,0178,1008,2530,3236,5747,6731,7133,7877,7878,9211
,1837,25 Apr 2012 (Wed),6032,5328,9958,3347,4725,4730,6337,6920,6921,7396,9670,9937,1987,1650,2297,2783,3321,3822,4051,4811,5378,8246,9914
,1838,28 Apr 2012 (Sat),2763,8384,6004,0407,1992,2701,3616,3804,3903,4235,5354,8654,8780,8113,8745,0038,0443,1359,2959,4145,5483,5860,6323
,1839,29 Apr 2012 (Sun),5031,0726,7364,0354,0647,0812,2200,2338,5408,6036,6215,6352,7237,8538,9313,0230,0562,0617,0676,2083,3540,6000,7139
,1840,02 May 2012 (Wed),3143,0625,8941,0497,1351,2380,4180,5571,7838,7967,8758,8941,0266,0351,5005,5500,5501,5672,6449,6851,7834,8607,9099
,1841,05 May 2012 (Sat),6051,6500,3270,0465,0565,2123,4127,5535,6042,7102,7510,7826,9234,7083,9019,1705,2074,3480,4467,5045,5327,5845,6221
,1842,06 May 2012 (Sun),7690,1044,0850,8214,2145,3204,3478,4443,5200,5347,5855,6088,7900,1976,2581,4390,4610,4752,5154,5674,5873,7796,9619
,1843,09 May 2012 (Wed),0998,0312,4144,1234,1552,3708,5247,5875,6027,6480,7668,8208,8726,9376,9664,2342,3716,4342,5005,8532,8687,9048,9199
,1844,12 May 2012 (Sat),9193,9863,4712,1208,1555,3986,5620,6180,6397,6861,6960,7048,8212,8479,8631,1143,2856,3397,4078,4258,5174,6934,7692
,1845,13 May 2012 (Sun),3238,7363,2485,8259,8364,8460,0623,1746,3999,4157,4762,5276,6405,1146,1300,2057,2240,2792,3813,5718,8311,8894,8980
,1846,16 May 2012 (Wed),9919,0228,7116,1037,1322,2083,4326,5237,6072,6778,8470,9305,9438,9494,9875,0359,0785,5096,5378,7017,7169,7874,8079
,1847,19 May 2012 (Sat),0878,8768,7844,2235,4317,5047,5333,5340,5976,6091,7117,7137,9770,8420,9002,1642,2082,2548,3520,4765,5594,7583,8077
,1848,20 May 2012 (Sun),0871,5988,9950,5917,9771,1233,1256,3521,4458,4652,4684,5326,5459,0627,1201,2180,4289,5514,6688,7691,8365,9100,9246
,1849,23 May 2012 (Wed),6416,1148,7610,3132,5921,6149,7625,8330,8963,9488,0519,0996,2885,0380,0882,1107,2257,2596,3292,4623,7307,7426,8900
,1850,26 May 2012 (Sat),5606,4691,1531,2373,2444,2607,4282,5104,6567,7024,7065,7999,9617,8866,0056,0999,2108,3987,4287,4302,6762,6979,7512
,1851,27 May 2012 (Sun),7551,3459,4018,0192,0894,1183,1818,1835,4190,4779,5519,5969,8399,6017,6122,7712,1086,4533,4928,5359,5418,5488,5492
,1852,30 May 2012 (Wed),3704,4134,3389,0213,0309,0818,1296,1950,4339,4382,8774,9174,9961,8092,8408,0604,0909,2155,2311,2626,2788,6493,6810
,1853,02 Jun 2012 (Sat),6478,2720,6237,0496,3535,4499,4541,5259,5321,5900,6094,6094,9178,5483,5590,1262,2364,2557,2588,3183,3892,4079,4361
,1854,03 Jun 2012 (Sun),4319,5124,1266,4128,4157,6200,8613,9549,0938,1034,1287,2397,2751,1193,1279,1914,3566,4847,5167,7071,8874,9023,9075
,1855,06 Jun 2012 (Wed),3303,0426,7368,8215,8617,9007,0748,0903,1655,2526,3717,5267,6510,0935,1539,3180,3416,3436,6015,6178,6681,8616,9458
,1856,09 Jun 2012 (Sat),0926,8060,0667,0510,2235,3274,3707,3773,3824,4725,5152,6236,9593,0126,1285,3943,3965,4092,4975,5243,6274,6592,6893
,1857,10 Jun 2012 (Sun),0225,0153,5243,0244,2315,2547,4891,6597,6999,7098,8172,8516,8587,5081,7682,8377,8586,8790,1206,1722,3175,3337,3426
,1858,13 Jun 2012 (Wed),5314,9980,7631,3433,4796,6731,7591,7650,9983,1601,2422,2440,2915,0491,1452,1572,3899,4292,4831,5804,7850,9679,9683
,1859,16 Jun 2012 (Sat),5248,6641,2881,9211,9268,2256,2402,3187,3405,4121,5502,6620,7195,0408,1696,1734,2073,2101,3825,4627,6131,7217,9387
,1860,17 Jun 2012 (Sun),9061,5971,0368,4322,4970,5181,6290,6355,6598,6768,6859,7187,9557,8103,8578,2362,3793,3918,5538,5596,5889,5934,6469
,1861,20 Jun 2012 (Wed),6748,7512,4699,6161,6379,6538,8319,8463,1647,3329,3395,4447,6033,1029,2889,3613,4192,5248,6606,6653,7152,7934,9109
,1862,23 Jun 2012 (Sat),3193,0378,7091,3236,3357,3982,4348,5567,8263,9699,0665,1818,2057,0939,1168,1859,1965,2479,3436,3578,4212,4629,7575
,1863,24 Jun 2012 (Sun),1604,0516,2857,0198,1025,1215,1825,4953,5282,6177,6786,7082,9169,9425,0267,0661,0956,5282,6205,6243,7273,7940,8028
,1864,27 Jun 2012 (Wed),6119,7141,1485,1371,2259,3778,6452,6825,7487,7704,8158,9794,9795,6188,7555,7648,7901,9804,0125,2315,4242,4490,5572
,1865,30 Jun 2012 (Sat),9184,0978,9802,0681,1349,1804,2230,2634,4473,5095,7700,7709,9639,0382,0435,0782,2202,6280,6479,8559,9660,9756,9933
,1866,01 Jul 2012 (Sun),9797,9308,5204,1077,3604,4292,4854,7046,7222,8350,8536,8901,9109,7591,7973,0094,0437,0759,1365,1524,1746,2584,5191
,1867,04 Jul 2012 (Wed),3659,7616,5664,0627,0753,2345,2650,4963,5921,6469,6984,8982,9128,9495,9965,0323,1058,1263,3576,7289,7500,7663,7964
,1868,07 Jul 2012 (Sat),5582,2211,4768,0341,2301,2321,3814,4271,5281,5733,6178,7995,9718,8808,9437,0276,0396,2306,3494,3760,3890,5371,8046
