,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,69,07 Jan 2001 (Sun),6648,7760,4114,2832,4611,4876,0027,5418,4991,0542,0820,2120,2167,1695,0734,0860,1075,1278,4896,6150,8772,9642,9239
,70,10 Jan 2001 (Wed),8383,6370,1450,2914,4383,9009,9245,9996,0616,9395,0469,1173,2698,3969,0142,0644,2534,4466,4669,6364,6596,8673,9974
,71,13 Jan 2001 (Sat),7421,6149,1765,3344,3409,6122,6900,7779,8509,2111,9853,9244,0988,7377,0715,0720,1365,2603,7489,7797,8196,9092,9711
,72,14 Jan 2001 (Sun),7918,1845,8802,9684,8991,4606,6624,4952,9374,2134,9783,7278,4749,7677,8407,2906,8574,1629,8365,9478,7432,4207,3691
,73,17 Jan 2001 (Wed),8851,4807,8296,9702,2910,3607,4287,7144,8631,8733,9024,0715,9819,2144,0502,1208,1590,3941,5714,7081,9394,9667,9585
,74,20 Jan 2001 (Sat),9724,5289,4209,0171,1331,1594,4327,5394,7495,9751,4345,9649,9193,5469,1745,2086,2927,5323,8013,8298,9306,9836,0628
,75,21 Jan 2001 (Sun),5784,8136,8434,9730,6480,0506,1405,7400,3769,4801,8374,9457,5407,7508,0770,4992,5647,5065,4952,7322,5462,4548,2508
,76,25 Jan 2001 (Thu),6563,5990,9857,8906,9738,9340,0778,1198,3080,3760,4796,8423,3246,0103,5451,6956,1160,1716,2889,3532,4598,6764,8499
,77,27 Jan 2001 (Sat),9846,9142,8160,3222,8694,3119,0235,0503,0514,0546,0820,1779,8286,7156,8496,5576,9883,5656,0680,0789,1405,7925,5610
,78,28 Jan 2001 (Sun),3433,7804,3940,9753,0393,0453,1712,2967,5274,7898,9001,2379,9742,7927,7929,9168,9399,9185,7178,1347,4267,4761,4798
,79,31 Jan 2001 (Wed),6302,3127,4448,9244,6084,9548,0834,2454,4049,4338,4824,5316,3751,4574,4614,4971,6193,8436,7591,9305,8520,3338,3527
,80,03 Feb 2001 (Sat),8769,7880,6110,9940,0065,8992,0708,3127,5789,6450,7400,8182,8207,0867,1557,2074,2519,9684,7390,9922,4164,7933,0325
,81,04 Feb 2001 (Sun),8309,1073,0103,9737,0973,8567,1006,2325,4201,4515,4773,7336,2625,2013,2160,2188,3773,5807,5950,7987,6519,6895,4697
